,공원명,공원구분,소재지주소,위도,경도,공원면적
608,꿈동산,어린이공원,경상남도 창원시 의창구 봉곡동 5,35.248733,128.655473,691.0
609,무동3호,어린이공원,경상남도 창원시 의창구 북면 무동리 121-4,35.31995929,128.58195320000002,10114.0
610,가람공원(어린이공원33),어린이공원,경상남도 창원시 진해구 용원동 1339-4,35.087521,128.813516,3025.0
611,국화,어린이공원,경상남도 창원시 의창구 도계동 341-3,35.259182,128.636181,1599.0
612,개나리,어린이공원,경상남도 창원시 의창구 도계동 358-1,35.26097048,128.639965,1710.0
613,진달래,어린이공원,경상남도 창원시 의창구 도계동 321-1,35.262845,128.639413,1592.0
614,꿈동산,어린이공원,경상남도 창원시 의창구 봉곡동 5,35.248733,128.655473,691.0
615,느티,어린이공원,경상남도 창원시 의창구 사림동 85-1,35.24615,128.678759,1013.0
616,벼리,어린이공원,경상남도 창원시 의창구 도계동 892,35.25349585,128.639571,1895.0
617,소망,어린이공원,경상남도 창원시 의창구 팔용동 140-1,35.255126000000004,128.609208,1596.0
618,마루,어린이공원,경상남도 창원시 의창구 팔용동 130-5,35.256869,128.6116966,1596.0
619,미르말,어린이공원,경상남도 창원시 의창구 팔용동 93-5,35.253011,128.612955,1561.0
620,이슬,어린이공원,경상남도 창원시 의창구 명서동 35,35.251673,128.64737879999998,1500.0
621,구슬비,어린이공원,경상남도 창원시 의창구 팔용동 182,35.260289,128.6135834,4824.0
622,대나무,어린이공원,경상남도 창원시 의창구 봉곡동 157,35.247768,128.67408899999998,504.0
623,마산-진동2호공원(75호),어린이공원,경상남도 창원시 마산합포구 진동면 진동리 622번지,35.119831,128.487423,2200.0
624,마산-진동1호공원(74호),어린이공원,경상남도 창원시 마산합포구 진동면 진동리 430번지,35.117282,128.48681399999998,2100.0
625,마산-어린이공원-85,어린이공원,경상남도 창원시 마산합포구 진북면 신촌리 11-8번지,35.140232,128.481395,5874.0
626,마산-어린이공원-84,어린이공원,경상남도 창원시 마산합포구 진북면 신촌리 9-4번지,35.140406,128.480871,4639.0
627,마산-어린이공원-83(진북5호공원),어린이공원,경상남도 창원시 마산합포구 진북면 망곡리 431번지,35.140605,128.483026,4353.0
628,마산-어린이공원-82(진북4호공원),어린이공원,경상남도 창원시 마산합포구 진북면 망곡리 424번지,35.140671000000005,128.4841,2017.0
629,마산-70호공원,어린이공원,경상남도 창원시 마산합포구 신포동1가 76-1번지,35.201617999999996,128.572129,1667.0
630,당산목,어린이공원,경상남도 창원시 의창구 사림동 77-8,35.243373999999996,128.6800968,1143.0
