관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편의시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명
48170-00011,가호2어린이공원,어린이공원,-,경상남도 진주시 가좌동 1438-7,35.158705,128.106265,855,-,"그네, 조합놀이대",-,-,-,1985-04-16,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00122,초장1지구 역사공원,역사공원,-,경상남도 진주시 초전동 1664,35.211528,128.105637,4849,-,-,-,-,-,2014-05-22,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00121,물빛여울공원,문화공원,경상남도 진주시 에나로128번길 14,경상남도 진주시 충무공동 291,35.17580907,128.1427382,13162,-,-,주차장,전시관,-,2014-12-01,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00120,평거17어린이공원,어린이공원,경상남도 진주시 남강로 373번길 3,경상남도 진주시 평거동 794-2번지 일원,35.172144,128.0678746,1500,-,-,공중화장실,-,자전거대여소,2012-10-25,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00119,평거16어린이공원,어린이공원,-,경상남도 진주시 신안동 708-3번지 일원,35.177248,128.070662,1500,-,-,-,-,분수대,2012-10-25,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00118,가산2소공원,소공원,-,경상남도 진주시 이반성면 가산리 1387,35.151999,128.318877,3353,-,-,-,-,-,2012-07-06,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00117,가산1소공원,소공원,경상남도 진주시 진마대로 2498번길 2-47,경상남도 진주시 이반성면 가산리 1401,35.151076,128.319581,2658,-,-,-,-,-,2012-07-06,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00116,지수압사소공원,소공원,-,경상남도 진주시 지수면 압사리 942-3,35.234488,128.259175,994,-,-,-,-,-,2011-08-25,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00115,강남7소공원,소공원,경상남도 진주시 강남로 291번길 16-11,경상남도 진주시 강남동 108-26,35.186226,128.085559,116,-,-,-,-,-,2011-01-20,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00109,강남1소공원,소공원,경상남도 진주시 강남로 341번길 10-13,경상남도 진주시 망경동 134-9 일원,35.18531965,128.0802723,205,-,-,-,-,-,2011-01-20,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00108,신안2지구어린이공원,어린이공원,-,경상남도 진주시 신안동 887-1,35.182236,128.064763,1987,-,"시소,흔들놀이기구",-,-,-,2010-10-07,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00107,초장1지구4어린이공원,어린이공원,-,경상남도 진주시 초전동 630-2번지,35.209689,128.114517,1514,-,"조합놀이대, 시소",-,-,-,2010-07-01,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00106,초장1지구3어린이공원,어린이공원,-,경상남도 진주시 초전동 1079번지,35.210582,128.114563,1500,-,"조합놀이대, 시소",-,-,-,2010-07-01,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00105,초장1지구2어린이공원,어린이공원,-,경상남도 진주시 초전동 1335-2번지,35.208506,128.1104,2384,-,"조합놀이대, 흔들놀이",-,-,-,2010-07-01,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00104,초장1지구1어린이공원,어린이공원,-,경상남도 진주시 초전동 978번지,35.214109,128.110828,1847,-,조합놀이대,-,-,-,2010-07-01,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00103,강주연못공원,수변공원,-,경상남도 진주시 정촌면 예하리 911-11 일원,35.113169,128.095103,55991,-,-,"공중화장실, 주차장",-,-,2010-01-14,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00102,대평체육공원,체육공원,경상남도 진주시 한들길 6,경상남도 진주시 대평면 대평리 1798-1 일원,35.320172,127.962799,17629,"풋살장,게이트볼장",-,주차장,-,효나눔복지센터,2009-12-17,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00101,대평3소공원,소공원,-,경상남도 진주시 대평면 대평리 529-1 일원,35.230839,127.959102,579,-,"조합놀이대,그네",-,-,-,2009-12-17,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00100,대평2소공원,소공원,-,경상남도 진주시 대평면 대평리 553-5 일원,35.231777,127.962619,1023,-,-,-,-,-,2009-12-17,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00099,대평1소공원,소공원,-,경상남도 진주시 대평면 대평리 511-5 일원,35.233941,127.959226,1194,-,-,-,-,-,2009-12-17,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00098,초전2어린이공원,어린이공원,-,경상남도 진주시 초전동 1628,35.20925,128.114408,1831,-,"흔들놀이기구, 조합놀이대",-,-,-,2009-11-05,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00097,초전1어린이공원,어린이공원,-,경상남도 진주시 초전동 1645-7,35.204589,128.114662,2465,-,"흔들놀이기구, 조합놀이대",-,-,-,2009-11-05,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00096,초전택지근린공원,근린공원,-,경상남도 진주시 초전동 1634-3,35.206934,128.115021,12470,농구장,"조합놀이대,흔들놀이",-,-,-,2009-11-05,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00095,금산갈전소공원,소공원,-,경상남도 진주시 금산면 갈전리 1626,35.185281,128.155051,1754,-,-,-,-,-,2009-08-20,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00094,평거4지구2어린이공원,어린이공원,-,경상남도 진주시 평거동 1086-8,35.16673,128.043558,3308,-,"조합놀이대, 그네, 시소, 흔들놀이",-,-,-,2009-06-25,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00093,평거4지구1어린이공원,어린이공원,-,경상남도 진주시 평거동 1078-5,35.166823,128.041157,3104,-,"조합놀이대, 시소, 흔들놀이",-,-,-,2009-06-25,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00092,평거4지구2공원,근린공원,-,경상남도 진주시 평거동 1135,35.163952,128.052147,28908,배드민턴장,-,주차장,-,-,2009-06-25,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00091,평거4지구1공원,근린공원,-,경상남도 진주시 평거동 1107,35.16444981,128.049014,32397,-,-,"공중화장실, 주차장",-,-,2009-06-25,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00090,정촌산단수변공원,수변공원,-,경상남도 진주시 정촌면 예하리 1350 일원,35.124404,128.099426,11858,-,-,주차장,-,-,2008-08-28,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00089,정촌1어린이공원,어린이공원,-,경상남도 진주시 정촌면 예하리 1291-4,35.115932,128.096285,1436,-,"그네, 흔들놀이기구,조합놀이대",-,-,-,2008-08-28,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00088,정촌산단소공원,소공원,-,경상남도 진주시 정촌면 예하리 1271-5,35.131498,128.101833,2879,-,-,-,-,-,2008-08-28,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00087,대나무공원,어린이공원,-,경상남도 진주시 충무공동 337-2,35.172659,128.149667,1513,-,"조합놀이대, 흔들놀이, 기타놀이기구",-,-,-,2007-10-27,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00086,물초울공원,근린공원,-,경상남도 진주시 충무공동 183,35.179264,128.139725,70347,-,-,-,-,-,2007-10-27,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00080,물새공원,어린이공원,-,경상남도 진주시 충무공동 307-1,35.169781,128.142612,1567,-,"조합놀이대, 미끄럼대, 기타놀이기구",-,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00079,이음새공원,어린이공원,-,경상남도 진주시 충무공동 257,35.176542,128.154528,1540,-,"공중놀이기구, 기타놀이기구",-,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00078,조약돌공원,어린이공원,-,경상남도 진주시 충무공동 274,35.176422,128.151286,5351,-,기타놀이기구,-,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00077,실크공원,어린이공원,-,경상남도 진주시 충무공동 190-3,35.182269,128.148579,2726,-,"조합놀이대, 기타놀이기구",-,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00076,소담울공원,소공원,-,경상남도 진주시 충무공동 321-1,35.169804,128.146334,667,-,-,-,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00075,한치울공원,소공원,-,경상남도 진주시 충무공동 287-4,35.17718,128.143816,1682,-,-,-,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00074,쌈지울공원,소공원,-,경상남도 진주시 충무공동 225-6,35.180146,128.146879,8489,-,-,-,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00073,나누미공원,소공원,-,경상남도 진주시 충무공동 40-1,35.179299,128.139746,1558,-,-,-,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00072,하얀울공원,근린공원,-,경상남도 진주시 충무공동 350,35.172035,128.156836,126060,-,-,-,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00071,참살이울공원,근린공원,-,경상남도 진주시 충무공동 299,35.172732,128.144867,13083,-,-,공중화장실,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00070,한터울공원,근린공원,-,경상남도 진주시 충무공동 285-1,35.174703,128.147582,17883,-,-,-,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00069,아람울공원,근린공원,-,경상남도 진주시 충무공동 227-3,35.17683,128.145378,10631,-,-,-,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00068,따스하리공원,근린공원,-,경상남도 진주시 충무공동 136,35.16868938,128.1396179,86745,-,"조합놀이대, 그네, 회전무대, 기타놀이기구",-,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00067,생기율공원,근린공원,-,경상남도 진주시 충무공동 102,35.176581,128.138518,82083,"배드민턴장, 농구장","조합놀이대, 흔들놀이기구, 기타놀이기구",공중화장실,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00066,나래공원,근린공원,-,경상남도 진주시 충무공동 75,35.173717,128.133617,21792,다목적구장,-,-,-,수경시설,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00065,바람모아공원,근린공원,-,경상남도 진주시 충무공동 44,35.171923,128.130071,143731,"게이트볼장, 다목적구장",-,공중화장실,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00064,기쁨누리공원,근린공원,-,"경상남도 진주시 충무공동 21, 32",35.178002,128.136554,11222,-,-,-,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00063,노을지공원,근린공원,-,"경상남도 진주시 충무공동 14, 15-5",35.177977,128.133684,25330,-,-,-,-,수경시설,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00062,혁신도시1공원,근린공원,-,경상남도 진주시 충무공동 12,35.18212,128.139731,17952,-,-,-,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00061,정촌산단공원,근린공원,-,경상남도 진주시 정촌면 예하리 1246-9,35.117576,128.099658,55270,-,-,-,-,-,2007-10-04,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00060,초장1지구문화공원,문화공원,-,경상남도 진주시 초전동 1707,35.212373,128.114234,7606,-,-,-,-,-,2007-06-14,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00059,초장1지구3공원,근린공원,-,"경상남도 진주시 초전동 1661, 1663",35.211851,128.104002,15252,-,-,-,-,-,2007-06-14,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00058,초장1지구2공원,근린공원,-,경상남도 진주시 초전동 1674,35.209406,128.087324,10351,-,-,-,-,-,2007-06-14,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00057,초장1지구1공원,근린공원,-,경상남도 진주시 초전동 1689,35.214724,128.109361,10366,-,-,-,-,-,2007-06-14,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00056,문산1공원,근린공원,-,경상남도 진주시 문산읍 삼곡리 980-4일원,35.156266,128.163911,9986,-,-,-,-,-,2006-06-01,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00055,이현1어린이공원,어린이공원,-,경상남도 진주시 이현동 1196,35.193679,128.059782,2698,-,"그네, 흔들놀이기구,조합놀이대,시소",-,-,-,2006-01-20,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00114,강남6소공원,소공원,경상남도 진주시 망경로 289번길 9-2,경상남도 진주시 망경동 29-11,35.185627,128.0845536,145,-,-,-,-,-,2011-01-20,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00113,강남5소공원,소공원,경상남도 진주시 망경로 281-8,경상남도 진주시 망경동 35-18,35.185159,128.0836912,158,-,-,-,-,-,2011-01-20,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00112,강남4소공원,소공원,경상남도 진주시 망경로 275번길 5-3,경상남도 진주시 망경동 97-1,35.1850404,128.082997,129,-,-,-,-,-,2011-01-20,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00111,강남3소공원,소공원,경상남도 진주시 망경북길 40-10,경상남도 진주시 망경동 20-6 일원,35.186225,128.083158,166,-,-,-,-,-,2011-01-20,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00110,강남2소공원,소공원,-,경상남도 진주시 망경동 140-23 일원,35.184639,128.080358,81,-,-,-,-,-,2011-01-20,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00049,사봉산단1공원,근린공원,-,경상남도 진주시 사봉면 사곡리 1812-1 일원,35.191016,128.273368,40631,족구장,-,주차장,-,-,2005-09-08,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00048,이현1근린공원,근린공원,-,경상남도 진주시 이현동 1178 일원,35.194309,128.055661,10273,-,"조합놀이대, 흔들놀이",-,-,-,2005-06-16,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00047,원계어린이공원,어린이공원,-,경상남도 진주시 가좌동 1890,35.145127,128.103941,1845,-,"그네, 조합놀이대",-,-,-,2004-05-13,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00046,평거종이비행기공원,어린이공원,-,경상남도 진주시 평거동 960,35.16887,128.061368,1506,-,"그네, 흔들놀이기구,조합놀이대",음수대,-,-,2001-11-06,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00045,평거달팽이공원,어린이공원,-,경상남도 진주시 평거동 799,35.169703,128.056872,1626,-,"흔들놀이기구, 시소, 조합놀이대",음수대,-,-,2001-11-06,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00044,평거햇살공원,어린이공원,-,경상남도 진주시 평거동 896,35.169475,128.058707,1520,-,"흔들놀이기구, 조합놀이대",음수대,-,-,2001-11-06,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00043,평거3근린공원,근린공원,-,경상남도 진주시 평거동 803,35.167756,128.05809,10053,-,-,-,유적복원시설,-,2001-11-06,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
